"作答ID","用户ID","开始时间","结束时间","作答总时长(秒)","作答渠道","发布ID","问卷发布名称","IP","经度","纬度","省份","城市","设备类型","操作系统类型","浏览器类型","屏幕分辨率","随机元素","您好。感谢您参与本次学术研究。本研究旨在了解用户对数字游戏产品说明的看法。您将阅读一个游戏产品说明，并根据自己的真实想法回答若干问题。本问卷仅用于学术研究，所有数据将匿名处理，不涉及对错。整份问卷大约需要3至5分钟。","作答时长(毫秒)","您通常玩数字游戏的频率是？","作答时长(毫秒)","请想象您正在浏览一个数字游戏平台，并看到以下一款新上线的付费叙事角色扮演游戏。请仔细阅读该产品页面，并根据您的第一印象回答后续问题。游戏名称：永恒回响游戏类型：付费叙事角色扮演游戏价格：68元游戏简介：进入一个充满古代遗迹、隐秘势力和分支剧情的奇幻世界。探索不断展开的地图，与独特角色互动，做出有意义的选择，并揭开影响你旅程走向的秘密游戏特色：分支剧情与角色关系系统世界探索与任务系统多重对话选项沉浸式奇幻世界观","作答时长(毫秒)","请想象您正在浏览一个数字游戏平台，并看到以下一款新上线的付费叙事角色扮演游戏。请仔细阅读该产品页面，并根据您的第一印象回答后续问题。游戏名称：永恒回响游戏类型：付费叙事角色扮演游戏价格：68元游戏简介：进入一个充满古代遗迹、隐秘势力和分支剧情的奇幻世界。探索不断展开的地图，与独特角色互动，做出有意义的选择，并揭开影响你旅程走向的秘密。游戏特色：分支剧情与角色关系系统世界探索与任务系统多重对话选项沉浸式奇幻世界观说明：本游戏使用生成式人工智能，在游戏开发阶段预先生成了部分对话、剧情事件和世界内容；玩家游玩时，人工智能不会继续参与这些内容的生成。","作答时长(毫秒)","请想象您正在浏览一个数字游戏平台，并看到以下一款新上线的付费叙事角色扮演游戏。请仔细阅读该产品页面，并根据您的第一印象回答后续问题。游戏名称：永恒回响游戏类型：付费叙事角色扮演游戏价格：68元游戏简介：进入一个充满古代遗迹、隐秘势力和分支剧情的奇幻世界。探索不断展开的地图，与独特角色互动，做出有意义的选择，并揭开影响你旅程走向的秘密。游戏特色：分支剧情与角色关系系统世界探索与任务系统多重对话选项沉浸式奇幻世界观说明：本游戏使用生成式人工智能，在玩家游玩过程中实时生成部分对话、游戏事件和世界内容。","作答时长(毫秒)","该产品页面表明，这款游戏使用了生成式人工智能。","作答时长(毫秒)","该产品页面表明，生成式人工智能主要是在游戏开发阶段预先生成了部分游戏内容。","作答时长(毫秒)","该产品页面表明，生成式人工智能主要是在玩家游玩过程中实时生成游戏内容。","作答时长(毫秒)","我觉得这款游戏体现了大量的人类创作努力。","作答时长(毫秒)","我觉得这款游戏的制作投入了大量的人类努力。","作答时长(毫秒)","我觉得这款游戏是经过人类精心打磨而成的。","作答时长(毫秒)","我觉得这款游戏凝聚了相当多的人类劳动。","作答时长(毫秒)","我觉得这款游戏给人一种新颖的感觉。","作答时长(毫秒)","我觉得这款游戏是一种新鲜而令人兴奋的游戏产品。","作答时长(毫秒)","我觉得这款游戏代表了一种新颖的数字游戏形式。","作答时长(毫秒)","我会考虑购买这款游戏。","作答时长(毫秒)","我购买这款游戏的意愿较高。","作答时长(毫秒)","我购买这款游戏的可能性较高。","作答时长(毫秒)","如果这款游戏现在可以购买，我会有兴趣购买它。","作答时长(毫秒)","您最多愿意为这款游戏支付多少钱？请填写金额（单位：元）","作答时长(毫秒)","我通常愿意尝试使用新技术的产品。","作答时长(毫秒)","我通常对技术创新持积极态度。","作答时长(毫秒)","我对融入人工智能的产品感兴趣。","作答时长(毫秒)","我通常喜欢叙事型角色扮演游戏。","作答时长(毫秒)","我对这种类型的游戏比较熟悉。","作答时长(毫秒)","这种类型的游戏符合我的个人兴趣。","作答时长(毫秒)","我对生成式人工智能技术比较熟悉。","作答时长(毫秒)","我了解生成式人工智能在数字产品中的典型用途。","作答时长(毫秒)","为确保您认真作答","作答时长(毫秒)","您的性别是？","作答时长(毫秒)","您的年龄是？","作答时长(毫秒)","您的最高学历是？","作答时长(毫秒)","您平均每周玩数字游戏的时长约为？","作答时长(毫秒)"
"mnZ5ZYPxWrn","MgE42EyL","2026-04-27 22:13:14","2026-04-27 22:18:29","315","数据集市","ABJV7z","数字游戏产品评价研究","223.90.195.98","113.8244344","34.0024855","河南省","许昌市","TABLET","iOS","Apple WebKit","834px*1112px","块 3","1","1000","1","15081","","","1","1000","","","7","21635","6","2892","3","4128","5","2699","5","58852","5","2688","5","6136","6","2480","4","1332","5","63185","2","1249","2","1734","2","1040","2","1927","12","6538","5","6056","5","376","5","1604","3","77595","2","1569","4","2451","3","1535","3","5407","1","1491","2","2093","5","959","2","1265","2","1664"
"WPdNd1v60by","5LwwOE1L","2026-04-27 22:16:37","2026-04-27 22:18:28","111","数据集市","ABJV7z","数字游戏产品评价研究","211.158.90.224","106.5225932","29.3763468","重庆市","市辖区","MOBILE","iOS","Apple WebKit","402px*874px","块 4","1","1000","4","2116","","","","","1","1000","7","24207","5","4213","6","1950","4","6364","5","2970","4","2685","4","4406","6","2083","6","2432","7","2153","6","2087","6","2367","7","4284","6","2260","100","10770","5","4454","6","1452","5","1351","5","1766","6","1417","6","1900","5","1852","5","2471","1","1271","2","2231","3","1044","3","1996","3","2997"
"lxoloErpRnx","7qXo1XGM","2026-04-27 22:14:51","2026-04-27 22:18:25","214","数据集市","ABJV7z","数字游戏产品评价研究","106.33.175.254","114.3131705","35.7462087","河南省","郑州市","MOBILE","iOS","Apple WebKit","440px*956px","块 2","1","1000","5","1450","1","1000","","","","","2","12637","2","419","2","1832","6","1483","6","1320","6","651","6","1447","5","2966","5","1134","5","1283","5","1434","5","1984","5","1365","5","1552","9.9","5005","6","3650","6","315","6","1585","6","466","6","1183","6","435","6","766","6","567","1","1817","2","158164","3","1327","3","1502","4","4275"
"Q4yOywKGxjq","2MdRVvWL","2026-04-27 22:12:35","2026-04-27 22:18:24","349","数据集市","ABJV7z","数字游戏产品评价研究","39.144.39.125","121.4864110","30.9145350","上海市","市辖区","MOBILE","Android","Chrome","360px*803px","块 4","1","1000","3","26403","","","","","1","1000","7","248607","1","1333","6","6625","6","6089","7","576","7","6039","6","1029","7","1119","6","3645","5","917","6","2723","7","1021","6","4385","6","645","68","3829","6","9046","6","1272","7","897","7","814","5","4593","6","896","6","861","5","4373","1","3669","1","1403","3","917","3","1306","3","2600"
"XOnmn2DdmPw","LQ811qq7","2026-04-27 22:14:02","2026-04-27 22:18:20","258","数据集市","ABJV7z","数字游戏产品评价研究","223.104.51.86","119.2673061","26.0797768","福建省","福州市","MOBILE","iOS","Apple WebKit","402px*874px","块 3","1","1000","5","1325","","","1","1000","","","7","30222","7","5951","1","13504","4","16748","4","16469","2","6052","2","4583","2","11552","5","15332","2","7169","3","2900","3","7235","2","6168","4","4285","50","42440","5","9647","6","4118","4","5917","7","3402","6","1533","5","3317","6","3151","5","13630","1","5551","2","4335","2","2468","3","2399","2","4801"
"bNp8px14P9N","p7Y32Jwe","2026-04-27 22:14:11","2026-04-27 22:18:18","247","数据集市","ABJV7z","数字游戏产品评价研究","117.162.70.114","114.9358720","26.9775320","江西省","吉安市","MOBILE","Android","Chrome","360px*800px","块 2","1","1000","3","8117","1","1000","","","","","7","56451","7","1182","7","5973","2","30884","3","14171","3","3605","1","7702","7","4802","6","926","7","4141","7","2487","5","678","6","1139","7","3475","68","5287","7","3010","5","1320","7","3127","5","25979","7","10439","7","2409","5","2504","5","8613","1","16730","1","12476","2","414","3","1557","2","2281"
"nNPOPPPK6OA","eP2JQQo7","2026-04-27 22:14:40","2026-04-27 22:18:15","215","数据集市","ABJV7z","数字游戏产品评价研究","14.151.17.146","113.4646280","22.2647560","广东省","中山市","MOBILE","Android","Chrome","360px*800px","块 4","1","1000","3","5429","","","","","1","1000","7","52208","5","500","6","454","6","1019","5","458","7","1052","5","405","6","1833","5","554","7","864","5","9514","7","435","5","2061","5","1214","50","5772","7","1128","5","515","6","515","7","1414","5","1022","6","1119","5","694","7","1052","1","1303","1","1340","2","972","4","1481","2","1004"
"lxoloo1kg1q","7lOWjNxM","2026-04-27 22:12:47","2026-04-27 22:18:13","326","数据集市","ABJV7z","数字游戏产品评价研究","111.55.147.207","104.7643730","31.4666990","四川省","绵阳市","MOBILE","Android","Chrome","360px*803px","块 4","1","1000","2","13803","","","","","1","1000","7","104465","3","30419","6","20598","5","31818","6","8442","7","2492","5","5262","7","5236","6","6168","5","5469","5","2905","6","2119","6","2176","7","7599","68","10257","6","8621","7","2904","5","3150","5","4372","5","3523","7","5550","5","2765","5","4099","1","3332","1","6734","5","2030","3","2621","2","9471"
"NRwawwbjGJg","Lm9KxvnL","2026-04-27 22:14:39","2026-04-27 22:18:13","214","数据集市","ABJV7z","数字游戏产品评价研究","58.251.252.81","116.3155970","23.5630260","广东省","揭阳市","MOBILE","Android","Chrome","400px*867px","块 4","1","1000","4","7636","","","","","1","1000","7","21324","1","13989","7","3552","1","2956","1","1836","1","4078","1","1562","5","30328","2","1343","5","5979","6","2360","5","3307","5","2000","6","2523","30","6614","6","4485","6","1855","5","2496","7","2741","6","2141","5","998","3","3652","3","3100","1","2849","1","4429","3","865","3","2064","4","3849"
"oBDxDDW1zN6","L0mKDEye","2026-04-27 22:12:12","2026-04-27 22:18:13","361","数据集市","ABJV7z","数字游戏产品评价研究","112.96.230.169","113.9510330","22.5415120","广东省","广州市","MOBILE","Android","Chrome","412px*915px","块 3","1","1000","4","3305","","","1","1000","","","6","56454","7","77428","2","3740","5","6897","5","1087","6","2481","5","653","7","1755","6","1889","7","1021","6","1642","7","1380","6","1014","6","2490","100","43724","7","1760","7","760","6","1019","6","992","5","2117","6","1674","6","2306","7","1662","1","1597","2","2224","4","1344","4","1798","3","5158"
"nNPOPP2D9A0","7KvgVDkM","2026-04-27 22:15:25","2026-04-27 22:18:12","167","数据集市","ABJV7z","数字游戏产品评价研究","106.34.149.43","115.2067840","33.6408150","河南省","郑州市","MOBILE","Android","Chrome","360px*800px","块 2","1","1000","4","1441","1","1000","","","","","5","61215","6","1184","5","11504","6","2094","6","976","7","3607","6","1632","5","5580","5","3655","6","1102","6","2748","7","1636","7","1771","6","1945","3000","22206","6","9283","7","1240","5","4757","6","425","6","1984","7","1179","5","2595","5","1392","1","1360","1","4922","3","2016","4","1734","5","5104"
"bNp8ppwYR8J","Mo1Vqo4L","2026-04-27 22:12:32","2026-04-27 22:18:12","340","数据集市","ABJV7z","数字游戏产品评价研究","223.104.195.202","117.0603190","36.1792040","山东省","临沂市","MOBILE","Android","Chrome","360px*800px","块 3","1","1000","4","2363","","","1","1000","","","6","91036","7","45748","1","3706","3","18652","3","6841","2","1820","3","1274","6","1704","5","403","7","1266","6","1171","5","1971","6","209","6","1719","68","13879","6","499","7","1197","6","623","5","34326","6","583","7","3626","5","322","6","1776","1","64816","2","4380","3","1635","3","1051","4","27987"
"NRwaww9gNNW","eyP4nnGL","2026-04-27 22:13:37","2026-04-27 22:18:11","274","数据集市","ABJV7z","数字游戏产品评价研究","223.91.189.125","113.6011180","33.4431650","河南省","漯河市","MOBILE","Android","Chrome","360px*780px","块 3","1","1000","3","10087","","","1","1000","","","7","101457","7","4033","1","9831","6","6678","6","4120","5","6701","6","6564","7","2729","7","2502","7","3739","6","8434","5","4749","5","788","6","4708","68","23464","6","10188","7","880","6","4075","6","5392","6","4984","7","3535","6","2755","5","7751","1","7111","1","4011","2","2402","4","3682","3","10616"
"mnZ5ZZbR4md","7YpP9QmM","2026-04-27 22:15:30","2026-04-27 22:18:11","161","数据集市","ABJV7z","数字游戏产品评价研究","221.211.14.157","131.8736560","45.5492120","黑龙江省","鸡西市","MOBILE","Android","Chrome","360px*748px","块 4","1","1000","3","1948","","","","","1","1000","7","22679","1","3628","7","5438","4","28658","4","10098","4","4606","4","6277","6","3299","6","3041","7","2824","6","3251","6","1767","6","3660","6","4802","100","14474","6","4565","6","1479","7","3819","6","2102","6","1734","6","2316","5","3594","6","3592","1","3047","1","2435","4","1862","3","1918","5","6731"
"nNPOPPJYAnm","ve8KxnrL","2026-04-27 22:13:53","2026-04-27 22:18:10","257","数据集市","ABJV7z","数字游戏产品评价研究","124.127.4.225","116.1736060","39.7402450","北京市","市辖区","MOBILE","Android","Chrome","360px*782px","块 2","1","1000","3","1504","1","1000","","","","","3","42170","3","3062","4","1738","4","2361","4","1360","5","1952","4","1066","4","1605","3","1924","4","2168","4","1362","3","1077","3","1396","3","2029","20","3131","5","4918","5","2656","4","4741","3","2267","3","2720","3","1255","5","2080","4","1901","1","1987","2","1872","2","597","4","1956","2","5907"
"WPdNddDQPEy","MgEkw0JL","2026-04-27 22:11:58","2026-04-27 22:18:10","372","数据集市","ABJV7z","数字游戏产品评价研究","112.49.191.43","119.3232240","26.0712090","福建省","福州市","MOBILE","Android","Chrome","360px*792px","块 3","1","1000","5","19146","","","1","1000","","","7","16215","7","33504","1","3363","5","63544","5","1897","6","1196","5","3394","7","1113","6","3578","6","9285","7","3626","6","1327","7","4901","7","4850","200","30414","5","2565","7","1082","7","1915","6","3335","6","12930","7","1280","6","818","7","3845","1","834","2","122202","3","921","3","1271","5","12342"
"XOnmnnOdA4B","LOyEEjxM","2026-04-27 22:13:57","2026-04-27 22:18:09","252","数据集市","ABJV7z","数字游戏产品评价研究","223.75.69.103","114.3518400","30.5192060","湖北省","武汉市","MOBILE","Android","Chrome","362px*804px","块 3","1","1000","1","12907","","","1","1000","","","7","44635","7","13286","1","5124","3","11974","3","22075","2","4611","2","2342","6","5892","6","1029","7","13226","5","4778","5","310","5","3462","4","9639","30","7340","7","2784","7","686","7","1683","6","23646","5","343","6","793","7","38175","6","2583","1","1341","2","11175","2","871","3","1292","1","1982"
"mnZ5ZZPB5Ep","Lm9o0ggL","2026-04-27 22:14:00","2026-04-27 22:18:09","249","数据集市","ABJV7z","数字游戏产品评价研究","202.108.15.230","116.2452390","40.0671280","北京市","市辖区","MOBILE","Android","Chrome","388px*883px","块 2","1","1000","4","3376","1","1000","","","","","1","8254","2","496","1","452","7","1878","6","218","7","674","7","959","5","247","6","233","5","957","5","747","5","210","7","674","7","285","80","2351","6","765","6","341","5","273","5","223","5","697","7","702","6","230","7","714","1","1100","2","888","3","405","4","982","4","749"
"WPdNddm3dqb","Jek5XbB7","2026-04-27 22:14:20","2026-04-27 22:18:08","228","数据集市","ABJV7z","数字游戏产品评价研究","183.46.221.159","115.4236520","22.8133610","广东省","东莞市","MOBILE","Android","Chrome","360px*792px","块 4","1","1000","2","12758","","","","","1","1000","5","59289","2","27419","6","9732","5","3740","5","21267","5","11062","4","1936","6","1501","5","1877","5","3948","6","2019","5","10473","5","3610","6","4047","99","7429","5","4471","5","1537","6","2557","6","3484","5","2207","5","3167","5","2437","5","5091","1","588","2","5933","2","1603","3","3898","2","5319"
"nNPOPnVE24a","7j9PpWdM","2026-04-27 22:15:56","2026-04-27 22:18:05","129","数据集市","ABJV7z","数字游戏产品评价研究","223.104.77.182","114.0388371","22.5218075","广东省","深圳市","TABLET","iOS","Apple WebKit","820px*1180px","块 4","1","1000","4","12551","","","","","1","1000","7","28414","1","15734","7","2383","4","10519","4","1848","4","1799","5","2533","6","2216","6","800","6","953","7","3399","6","1232","6","916","6","6167","68","10737","6","3083","6","2595","7","2183","7","1567","4","4283","5","867","5","750","5","1100","1","2383","2","2499","2","450","3","1216","3","1868"
"oBDxDRNRdvN","Jekoylwe","2026-04-27 22:14:23","2026-04-27 22:18:05","222","数据集市","ABJV7z","数字游戏产品评价研究","111.17.1.3","117.0143467","36.2327598","山东省","泰安市","MOBILE","iOS","Apple WebKit","390px*844px","块 4","1","1000","4","15142","","","","","1","1000","7","38792","1","12036","7","7918","3","17483","2","4543","3","3073","3","2371","6","6042","6","1953","7","4410","6","468","7","2869","6","987","6","1186","68","4964","6","2349","7","869","7","717","6","804","7","749","6","903","5","1019","6","885","1","1552","1","22743","5","986","3","1552","3","8380"
"lxolo48JwxR","eNQE1brL","2026-04-27 22:14:39","2026-04-27 22:18:00","201","数据集市","ABJV7z","数字游戏产品评价研究","183.160.249.136","117.0526560","31.8378380","安徽省","合肥市","MOBILE","Android","Chrome","360px*800px","块 3","1","1000","3","24571","","","1","1000","","","4","78812","4","4997","3","1658","5","12478","5","8107","5","1314","5","2841","4","2247","4","1597","5","6211","5","9324","4","506","4","1368","5","3111","68","6631","6","7245","5","1576","6","2052","7","808","6","1498","6","1064","6","1898","4","3027","1","1129","2","1796","5","1762","3","1500","3","9923"
"vNrBrvw2mDb","Bepb2XA7","2026-04-27 22:15:57","2026-04-27 22:17:59","122","数据集市","ABJV7z","数字游戏产品评价研究","42.84.233.28","122.9871727","41.0758766","辽宁省","鞍山市","MOBILE","iOS","Apple WebKit","375px*812px","块 2","1","1000","5","1398","1","1000","","","","","1","31325","1","13747","1","1554","6","1081","6","1400","7","554","6","964","7","3931","7","1273","6","6098","6","1868","7","1000","7","1117","7","2120","100","4657","7","1629","7","1065","6","1255","7","1666","7","1119","7","965","6","1151","5","4066","1","583","2","2086","2","465","3","1677","4","3042"
"XOnmnGE1ao8","p7YdpBzM","2026-04-27 22:13:04","2026-04-27 22:17:59","295","数据集市","ABJV7z","数字游戏产品评价研究","27.11.107.142","108.3940500","31.1683610","重庆市","市辖区","MOBILE","Android","Chrome","385px*854px","块 2","1","1000","3","8396","1","1000","","","","","2","47005","1","3426","1","3179","6","49530","7","37399","6","22919","6","3693","4","27882","4","4400","6","26617","5","2521","6","4599","6","2121","5","870","68","9819","6","1643","7","1614","7","982","5","1257","6","1013","5","1403","7","3058","5","5442","1","3414","1","12907","3","648","3","1524","4","3293"
"bNp8pX1EdqY","eyPJgD8L","2026-04-27 22:12:51","2026-04-27 22:17:58","307","数据集市","ABJV7z","数字游戏产品评价研究","39.144.123.152","121.5747690","29.8198200","浙江省","宁波市","MOBILE","Android","Chrome","360px*791px","块 2","1","1000","5","1254","1","1000","","","","","1","20130","1","3176","1","908","7","1994","7","908","7","3163","7","604","5","2916","6","9100","5","3719","6","1223","5","3267","5","2822","6","3961","35","5579","5","4156","7","1539","5","2441","5","214683","7","722","6","498","6","2662","4","5452","1","791","2","2095","2","1573","3","1985","5","3056"
"WPdNdE5Y0D4","MDP3KmGM","2026-04-27 22:15:47","2026-04-27 22:17:57","130","数据集市","ABJV7z","数字游戏产品评价研究","117.150.23.220","111.3306780","30.6826820","湖北省","宜昌市","MOBILE","Android","Chrome","320px*712px","块 2","1","1000","3","14316","1","1000","","","","","5","30551","5","3255","5","2695","6","4812","6","1665","6","2428","7","2675","6","1684","5","2473","5","1734","6","1852","6","933","7","3667","6","2459","70","8436","5","5379","6","2042","6","1084","5","1865","5","2357","6","2297","6","834","6","1730","1","2487","2","4377","5","1738","3","5568","3","9963"
"Q4yOyAJpqGd","eP2oJ9r7","2026-04-27 22:15:28","2026-04-27 22:17:57","149","数据集市","ABJV7z","数字游戏产品评价研究","106.58.148.149","98.8627420","26.9473150","云南省","怒江傈僳族自治州","MOBILE","Android","Chrome","412px*915px","块 4","1","1000","5","2283","","","","","1","1000","7","19844","2","1709","7","1982","6","6336","6","3229","6","1409","6","22548","7","2645","7","2272","6","4990","6","7782","6","1939","6","2600","6","22762","199","11384","7","2180","7","1676","7","1983","7","3487","7","1527","7","1604","6","1577","6","2469","1","2064","1","2275","3","1878","3","1304","5","7851"
"XOnmnGAgmg5","Mx29nbJL","2026-04-27 22:12:17","2026-04-27 22:17:57","340","数据集市","ABJV7z","数字游戏产品评价研究","42.101.84.81","126.4919970","45.7985990","黑龙江省","哈尔滨市","MOBILE","Android","Chrome","360px*640px","块 2","1","1000","3","4856","1","1000","","","","","1","61278","1","4285","2","1456","5","23359","6","14553","5","1169","5","1239","4","46944","5","1904","4","1288","6","1104","5","6408","6","1305","6","1591","68","53079","6","2955","5","813","6","1265","6","39343","5","1792","6","1368","6","1034","6","10622","1","713","2","11183","5","4920","2","4600","2","2492"
"vNrBrvnK4Bx","eP20mW97","2026-04-27 22:13:07","2026-04-27 22:17:55","288","数据集市","ABJV7z","数字游戏产品评价研究","116.31.103.27","113.1620030","23.0287000","广东省","佛山市","MOBILE","Android","Chrome","360px*640px","块 3","1","1000","4","3083","","","1","1000","","","1","21631","1","845","1","1127","5","46207","6","769","6","1105","5","1094","4","18521","4","1736","3","831","5","2256","5","30049","6","543","6","1905","65","6009","5","17752","6","911","6","3594","6","50926","6","1473","5","3086","6","1264","6","21409","1","578","1","28315","5","3530","4","2256","3","13576"
"bNp8pXk5W6k","eEKgYvK7","2026-04-27 22:12:18","2026-04-27 22:17:56","338","数据集市","ABJV7z","数字游戏产品评价研究","113.250.162.223","106.5199970","29.5958010","重庆市","市辖区","MOBILE","Android","Chrome","360px*640px","块 2","1","1000","4","9345","1","1000","","","","","1","62054","1","613","1","1239","5","38754","5","1711","6","4355","5","1349","4","30663","4","884","2","1301","6","2752","5","19247","6","1089","6","1208","70","42903","6","20226","5","704","6","1687","6","24887","5","625","6","872","6","1048","5","16503","1","525","2","22931","5","2848","3","1407","2","1616"
"Q4yOy5Q6kWd","2MdJRJNL","2026-04-27 22:13:36","2026-04-27 22:17:52","256","数据集市","ABJV7z","数字游戏产品评价研究","171.213.246.214","104.1426070","30.7834130","四川省","成都市","MOBILE","Android","Chrome","360px*800px","块 3","1","1000","3","22611","","","1","1000","","","5","91608","6","3949","2","40406","4","11632","4","1520","5","38237","4","1080","6","2225","5","1376","5","3071","6","1164","6","2657","5","2593","6","2354","68","4139","4","3126","5","1475","5","1905","6","1188","4","1735","5","1753","5","1379","6","1904","1","1610","2","2063","3","1171","3","1572","2","3743"
"NRwawj6pj3v","eyPJ2yGL","2026-04-27 22:13:34","2026-04-27 22:17:50","256","数据集市","ABJV7z","数字游戏产品评价研究","183.251.95.63","118.2499470","24.5936010","福建省","厦门市","MOBILE","Android","Chrome","360px*791px","块 3","1","1000","5","3650","","","1","1000","","","7","29397","7","19874","1","47490","5","6071","3","4671","5","2708","5","2385","6","1327","5","2495","6","1342","6","1240","6","2051","5","1182","4","7776","30","5485","6","1912","7","898","5","3112","5","2488","6","51654","6","1242","5","2407","6","3684","1","2136","2","1531","2","490","2","1426","4","3555"
"XOnmnNqlwzO","eP2xvwv7","2026-04-27 22:12:05","2026-04-27 22:17:48","343","数据集市","ABJV7z","数字游戏产品评价研究","183.250.153.100","117.9753380","24.4932310","福建省","厦门市","MOBILE","Android","Chrome","360px*796px","块 4","1","1000","3","4893","","","","","1","1000","6","58377","1","44359","7","5400","5","6149","6","2717","6","2431","7","3363","7","3668","5","27564","7","12625","6","15820","5","6419","6","1675","7","15235","68","18902","6","20152","5","935","5","8456","6","10549","5","6964","6","18006","6","11754","5","6522","1","3040","2","11702","3","1141","3","5391","2","7728"
"Q4yOy5N0k6G","oe45WXXM","2026-04-27 22:13:37","2026-04-27 22:17:50","253","数据集市","ABJV7z","数字游戏产品评价研究","183.208.3.30","118.8683440","31.9602310","江苏省","南京市","MOBILE","Android","Chrome","360px*780px","块 3","1","1000","4","1791","","","1","1000","","","7","38265","6","2704","1","3120","6","4496","7","1305","5","998","6","770","7","2034","5","849","7","1916","6","193","5","763","7","713","5","7033","50","4598","6","1102","7","787","5","1182","7","858","7","2818","6","1077","5","1337","6","942","1","731","1","6155","3","498","3","1370","3","2629"
"XOnmnNEO8G8","xLVNg8pL","2026-04-27 22:15:39","2026-04-27 22:17:49","130","数据集市","ABJV7z","数字游戏产品评价研究","119.251.148.18","116.1149180","38.1673740","河北省","沧州市","MOBILE","Android","Chrome","355px*793px","块 4","1","1000","5","2214","","","","","1","1000","7","44182","2","20187","7","4616","6","3066","7","2177","7","1407","6","1481","6","1078","7","1290","7","1698","6","1605","6","884","7","897","6","1376","68","6811","7","2316","6","863","6","671","7","1152","7","851","7","1068","6","252","6","1316","1","1816","1","3907","3","706","3","1430","5","1550"
"vNrBraO2zrx","e5y14WNe","2026-04-27 22:14:02","2026-04-27 22:17:48","226","数据集市","ABJV7z","数字游戏产品评价研究","58.45.41.135","113.0796220","27.8300960","湖南省","株洲市","MOBILE","Android","Chrome","376px*835px","块 3","1","1000","3","29527","","","1","1000","","","6","26049","6","11699","2","3176","5","2014","6","2301","6","1840","6","1739","5","1665","6","1012","6","1605","5","1264","6","1301","6","853","5","1726","68","19664","5","2227","6","1197","6","1064","7","1506","6","389","5","3047","6","1403","5","3465","1","1231","2","2594","3","1391","3","1344","2","2265"
"Q4yOy5JYymq","G7XrJDOe","2026-04-27 22:15:16","2026-04-27 22:17:46","150","数据集市","ABJV7z","数字游戏产品评价研究","39.144.78.177","116.4328430","39.9129840","北京市","市辖区","MOBILE","Android","Chrome","360px*800px","块 2","1","1000","2","8122","1","1000","","","","","3","75202","3","621","3","880","6","482","6","887","6","2911","5","1113","5","1146","5","1334","5","7455","4","9443","4","4563","4","1513","5","3500","50","3188","5","1567","6","2831","5","914","5","1342","4","1934","4","1497","5","2562","5","1499","1","543","2","1952","7","1989","1","837","2","4456"
"NRwaw2ja3VR","M6BYGGVM","2026-04-27 22:14:14","2026-04-27 22:17:45","211","数据集市","ABJV7z","数字游戏产品评价研究","27.10.18.244","106.5094841","29.6720418","重庆市","市辖区","MOBILE","iOS","Apple WebKit","393px*852px","块 2","1","1000","2","6864","1","1000","","","","","1","56770","2","20152","1","3234","5","7909","7","2593","7","1175","6","1996","5","1945","6","55348","6","2664","5","1633","5","3374","7","1945","5","1524","68","12364","7","3153","7","1670","5","3281","6","2771","7","1969","7","1185","5","2126","4","3558","1","1598","2","2001","3","968","3","1435","3","3705"
"vNrBrdQry5N","VMJ6Jy3M","2026-04-27 22:13:40","2026-04-27 22:17:44","244","数据集市","ABJV7z","数字游戏产品评价研究","113.27.75.79","112.8366370","35.4919350","山西省","晋城市","MOBILE","Android","Chrome","425px*942px","块 4","1","1000","3","1455","","","","","1","1000","7","13452","1","2469","7","5726","5","4116","6","1905","5","2826","7","1777","5","1770","7","3733","6","2104","7","2449","6","2622","7","1704","6","2076","100","4475","6","3477","6","2032","7","1901","7","2260","6","1423","7","1492","6","1370","7","1240","1","2135","2","161315","3","992","3","1763","4","6112"
"gnzdzm2qGQJ","8MZJbGyM","2026-04-27 22:13:15","2026-04-27 22:17:42","267","数据集市","ABJV7z","数字游戏产品评价研究","36.132.179.154","125.1036360","46.5751100","黑龙江省","大庆市","MOBILE","Android","Chrome","412px*915px","块 4","1","1000","5","1290","","","","","1","1000","7","13059","1","30438","7","1352","7","806","7","1697","6","5494","7","706","7","12022","6","981","7","4682","7","798","6","270","6","1525","7","4560","68","20098","7","4603","7","1835","7","4148","6","3711","7","1240","6","9222","7","804","7","5410","1","15257","2","5580","3","751","4","1269","4","2204"
"NRwaw29YYNW","MgE8VN5L","2026-04-27 22:15:43","2026-04-27 22:17:41","118","数据集市","ABJV7z","数字游戏产品评价研究","27.19.179.196","114.2621123","30.5664418","湖北省","武汉市","MOBILE","iOS","Apple WebKit","390px*844px","块 4","1","1000","4","5975","","","","","1","1000","7","21731","4","5059","6","717","6","2369","5","7868","5","3772","6","1648","6","3003","5","816","5","1485","6","1467","5","1334","5","1853","6","683","60","13964","5","4949","6","2281","6","904","5","1116","5","1084","6","1402","6","1068","7","1250","1","2551","1","21180","3","1517","2","1933","3","3302"
"gnzdzmQa9Nw","xLV9BEm7","2026-04-27 22:13:34","2026-04-27 22:17:41","247","数据集市","ABJV7z","数字游戏产品评价研究","36.148.90.198","112.3718596","26.9672009","湖南省","衡阳市","MOBILE","iOS","Apple WebKit","414px*896px","块 4","1","1000","4","5646","","","","","1","1000","7","20533","1","87180","7","1145","6","7683","6","802","7","921","6","842","7","909","7","824","7","1626","6","850","5","2941","6","1735","6","2056","78","7520","7","3920","6","641","7","677","5","850","5","1191","6","1239","7","1430","6","4787","1","1762","2","3214","5","781","3","1150","4","6767"
